state_id,coal_prod,petrol_prod,gas_prod,solar_prod,wind_prod,hydro_prod,geo_prod,nuc_prod
AL,21729.57353,5.28061,53587.30579,369.97832,0,11946.6337,0,43550.647
AK,628.64225,895.37298,2164.03025,0,163.17547,1654.15235,0,0
AZ,13747.25305,40.42573,50773.84914,5982.63623,634.97726,6460.54552,0,31552.433
AR,15388.29796,42.4358,16527.55406,254.58968,0,4240.85539,0,15063.049
CA,0,39.94428,79815.57316,30277.04247,13634.44627,21434.97018,11927.50962,16258.698
CO,19478.40504,9.65948,18398.52989,1487.39115,12704.47949,1944.71742,0,0
CT,-19.08163,11.32025,22449.50265,220.80781,12.184,423.4764,0,15714.855
DE,102.27417,13.54678,3628.11739,59.91327,2.556,0,0,0
FL,16640.0539,212.45779,186385.8698,6545.69695,1.422,207.28245,0,29419.352
GA,13745.39865,18.47874,58017.18018,3897.53374,0,4103.99613,0,32825.697
HI,1165.14671,5976.30446,0,528.22218,579.27897,28.69,208.32954,0
ID,0,0.034,3826.74779,560.04714,2741.64747,11354.89875,87.55824,0
IL,29513.47161,29.93537,23059.84433,89.58103,17105.96767,135.3942,0,100246.068
IN,47754.16473,111.89375,29766.98318,427.7038,6541.32495,261.90401,0,0
IA,12785.81505,43.53017,6390.6092,24.74844,34145.1899,861.15147,0,2904.863
KS,16959.83904,83.22369,2856.14883,58.68501,23496.76989,32.402,0,10582.482
KY,43638.31323,56.40389,14406.44442,46.16655,0,4613.39384,0,0
LA,3918.65939,13.43406,46203.79004,81.89567,0,1390.31046,0,16949.587
ME,46.92568,25.10638,1266.78281,36.1826,2498.41463,3468.41905,0,0
MD,3359.55972,70.49264,13066.58297,584.07694,546.0222,1700.82905,0,15080.557
MA,0,26.22213,13201.8705,1553.08803,240.518,986.14936,0,2177.204
MI,28001.17979,84.15212,33240.75617,168.35038,6759.32222,1773.60166,0,30332.546
MN,13916.74688,38.78949,10895.23032,1757.86595,12212.85767,1081.16788,0,14677.288
MS,4593.52454,4.56404,52340.36587,435.98205,0,0,0,6470.934
MO,51749.83741,89.07696,7809.93937,106.865,3424.84659,2247.62808,0,7742.12
MT,8529.74437,10.44013,387.93833,32.701,2992.36724,11051.05014,0,0
NE,18614.67959,13.28929,1448.2514,61.15229,8710.15774,1487.66803,0,6188.551
NV,1953.20122,6.26478,26402.79579,5195.5024,323.42015,1941.94376,3693.44669,0
NH,128.48213,29.36681,3600.67057,0,524.80574,1495.2887,0,9865.196
NJ,916.71816,27.61234,30084.65553,1415.6971,22.31066,15.356,0,26738.258
NM,12788.18425,174.59271,12168.99955,1699.25767,7186.95362,181.32335,53.279,0
NY,143.69153,192.52251,51600.65489,1103.05807,4945.6291,31372.47087,0,38469.844
NC,20630.65355,110.18789,41430.74785,8818.22137,546.267,6575.46413,0,42328.762
ND,24400.35811,31.06874,1485.6369,0,13180.11064,3453.50594,0,0
OH,45005.87439,110.85784,52132.34216,193.75639,2205.01374,412.02474,0,18219.025
OK,5870.84749,25.45178,43262.01459,66.95183,29571.77174,3962.67673,0,0
OR,1630.14477,4.2449,18591.52346,1075.28786,8549.5469,33641.63679,156.81183,0
PA,23756.98116,64.78744,118787.5411,168.25651,3872.7852,3547.40542,0,76521.394
RI,0,6.21364,7165.99306,205.68883,223.58629,3.555,0,0
SC,12442.56096,56.31052,24109.56144,1791.99383,0,3141.95135,0,54751.088
SD,1648.2221,10.45144,1170.94849,1.93217,5603.99205,8603.31738,0,0
TN,13839.1621,106.39351,14228.23239,323.96928,54.46373,10360.91793,0,36688.195
TX,78825.27459,48.54056,207625.1823,7902.48824,92938.02859,1807.18515,0,41438.705
UT,22806.02092,39.62655,9037.86265,2495.91802,802.70129,971.65381,354.22924,0
VT,0,0.92708,0.91879,188.82005,383.586,1368.70988,0,5060.582
VA,3638.80815,174.50424,61242.37204,1478.22845,0,1607.03695,0,30140.054
WA,5143.21783,12.04184,13077.59073,46.82537,8326.25475,75491.72347,0,9427.05
WV,50180.89398,142.4075,2096.02369,0,1897.802,1168.40387,0,0
WI,23486.07168,39.39383,20326.17131,93.06583,1748.3617,2752.70178,0,9771.333
WY,32972.31621,44.60257,654.44653,165.364,4629.43706,1102.30119,0,0
