state_id,state_name,population,division_id
AL,Alabama,4903185,7
AK,Alaska,731545,2
AZ,Arizona,7278717,3
AR,Arkansas,3017804,6
CA,California,39512223,1
CO,Colorado,5758736,3
CT,Connecticut,3565287,10
DE,Delaware,973764,8
FL,Florida,21477737,8
GA,Georgia,10617423,8
HI,Hawaii,1415872,2
ID,Idaho,1787065,3
IL,Illinois,12671821,5
IN,Indiana,6732219,5
IA,Iowa,3155070,4
KS,Kansas,2913314,4
KY,Kentucky,4467673,7
LA,Louisiana,4648794,6
ME,Maine,1344212,10
MD,Maryland,6045680,8
MA,Massachusetts,6892503,10
MI,Michigan,9986857,5
MN,Minnesota,5639632,4
MS,Mississippi,2976149,7
MO,Missouri,6137428,4
MT,Montana,1068778,3
NE,Nebraska,1934408,4
NV,Nevada,3080156,3
NH,New Hampshire,1359711,10
NJ,New Jersey,8882190,9
NM,New Mexico,2096829,3
NY,New York,19453561,9
NC,North Carolina,10488084,8
ND,North Dakota,762062,4
OH,Ohio,11689100,5
OK,Oklahoma,3956971,6
OR,Oregon,4217737,1
PA,Pennsylvania,12801989,9
RI,Rhode Island,1059361,10
SC,South Carolina,5148714,8
SD,South Dakota,884659,4
TN,Tennessee,6829174,7
TX,Texas,28995881,6
UT,Utah,3205958,3
VT,Vermont,623989,10
VA,Virginia,8535519,8
WA,Washington,7614893,1
WV,West Virginia,1792147,8
WI,Wisconsin,5822434,5
WY,Wyoming,578759,3
